Region,Province,Province in Pinyin,City,
NC,北京市,Beijing,北京,
EC,上海市,Shanghai,上海,
SC,广东省,Guangdong,广州,
SC,广东省,Guangdong,深圳,
EC,江苏省,Jiangsu,南京,
CC,湖北省,Hubei,武汉,
NW,陕西省,Shanxi,西安,
SW,四川省,Sichuan,成都,
NC,河南省,Henan,郑州,
EC,浙江省,Zhejiang,杭州,
EC,江苏省,Jiangsu,苏州,
CC,湖南省,Hunan,长沙,
NE,黑龙江省,Heilongjiang,哈尔滨,
SC,福建省,Fujian,厦门,
SW,云南省,Yunnan,昆明,
NW,甘肃省,Gansu,兰州,
NC,山东省,Shandong,济南,
SW,重庆市,Zhongqing,重庆,
SC,广西,Guangxi,南宁,
NE,辽宁省,Liaoning,大连,
NE,辽宁省,Liaoning,沈阳,
NE,吉林省,Jilin,长春,
CC,江西省,Jiangxi,南昌,
EC,江苏省,Jiangsu,扬州,
NC,天津市,Tianjin,天津,
NW,青海省,Qinghai,西宁,
NW,新疆,Xinjiang,乌鲁木齐,
NC,山西省,Shanxi,太原,
SC,福建省,Fujian,福州,
NC,山东省,Shandong,烟台,
SW,贵州省,Guizhou,贵阳,
EC,安徽省,Anhui,合肥,
SC,海南省,Hainan,海口,
NE,辽宁省,Liaoning,抚顺,
EC,江苏省,Jiangsu,无锡,
NC,河北省,Hebei,石家庄,
NC,山东省,Shandong,青岛,
NW,宁夏,Ningxia,银川,
SC,广东省,Guangdong,东莞,
NE,黑龙江省,Heilongjiang,大庆,
EC,江苏省,Jiangsu,徐州,
EC,浙江省,Zhejiang,宁波,
EC,江苏省,Jiangsu,常州,
NE,吉林省,Jilin,吉林,
EC,浙江省,Zhejiang,温州,
NC,河北省,Hebei,张家口,
NC,河北省,Hebei,唐山,
NC,河北省,Hebei,秦皇岛,
NC,河北省,Hebei,保定,
NC,河北省,Hebei,廊坊,
NC,河北省,Hebei,邢台,
NC,河北省,Hebei,沧州,
NC,河北省,Hebei,承德,
NC,河北省,Hebei,衡水,
NC,河北省,Hebei,邯郸,
NC,河北省,Hebei,三河,
NC,河北省,Hebei,辛集,
NC,河北省,Hebei,丰南,
NC,河北省,Hebei,涿州,
NC,河北省,Hebei,河间,
NC,河北省,Hebei,藁城,
NC,河北省,Hebei,迁安,
NC,河北省,Hebei,安国,
NC,河北省,Hebei,霸州,
NC,河北省,Hebei,晋州,
NC,河北省,Hebei,武安,
NC,河北省,Hebei,高碑店,
NC,河北省,Hebei,新乐,
NC,河北省,Hebei,南宫,
NC,河北省,Hebei,任丘,
NC,河北省,Hebei,冀州,
NC,河北省,Hebei,鹿泉,
NC,河北省,Hebei,沙河,
NC,河北省,Hebei,泊头,
NC,河北省,Hebei,深州,
NC,河北省,Hebei,遵化,
NC,河北省,Hebei,定州,
NC,河北省,Hebei,黄骅,
NC,河南省,Henan,洛阳,
NC,河南省,Henan,平顶山,
NC,河南省,Henan,新乡,
NC,河南省,Henan,商丘,
NC,河南省,Henan,焦作,
NC,河南省,Henan,信阳,
NC,河南省,Henan,许昌,
NC,河南省,Henan,鹤壁,
NC,河南省,Henan,漯河,
NC,河南省,Henan,驻马店,
NC,河南省,Henan,安阳,
NC,河南省,Henan,周口,
NC,河南省,Henan,开封,
NC,河南省,Henan,三门峡,
NC,河南省,Henan,南阳,
NC,河南省,Henan,濮阳,
NC,河南省,Henan,巩义,
NC,河南省,Henan,新密,
NC,河南省,Henan,阳,
NC,河南省,Henan,新郑,
NC,河南省,Henan,邓州,
NC,河南省,Henan,偃师,
NC,河南省,Henan,汝州,
NC,河南省,Henan,舞钢,
NC,河南省,Henan,林州,
NC,河南省,Henan,卫辉,
NC,河南省,Henan,沁阳,
NC,河南省,Henan,孟州,
NC,河南省,Henan,禹州,
NC,河南省,Henan,义马,
NC,河南省,Henan,灵宝,
NC,河南省,Henan,永城,
NC,河南省,Henan,项城,
NC,河南省,Henan,登封,
NC,河南省,Henan,辉县,
NC,河南省,Henan,长葛,
NC,河南省,Henan,济源,
NC,内蒙古,Neimenggu,包头,
NC,内蒙古,Neimenggu,呼和浩特,
NC,内蒙古,Neimenggu,赤峰,
NC,内蒙古,Neimenggu,通辽,
NC,内蒙古,Neimenggu,乌海,
NC,内蒙古,Neimenggu,鄂尔多斯,
NC,内蒙古,Neimenggu,呼伦贝尔,
NC,内蒙古,Neimenggu,霍林郭勒,
NC,内蒙古,Neimenggu,满洲里,
NC,内蒙古,Neimenggu,扎兰屯,
NC,内蒙古,Neimenggu,锡林浩特,
NC,内蒙古,Neimenggu,临河,
NC,内蒙古,Neimenggu,乌兰浩特,
NC,内蒙古,Neimenggu,丰镇,
NC,内蒙古,Neimenggu,阿尔山,
NC,内蒙古,Neimenggu,集宁,
NC,内蒙古,Neimenggu,牙克石,
NC,内蒙古,Neimenggu,根河,
NC,内蒙古,Neimenggu,额尔古纳,
NC,内蒙古,Neimenggu,二连浩特,
NC,山东省,Shandong,淄博,
NC,山东省,Shandong,潍坊,
NC,山东省,Shandong,威海,
NC,山东省,Shandong,日照,
NC,山东省,Shandong,莱芜,
NC,山东省,Shandong,德州,
NC,山东省,Shandong,聊城,
NC,山东省,Shandong,菏泽,
NC,山东省,Shandong,滨州,
NC,山东省,Shandong,东营,
NC,山东省,Shandong,泰安,
NC,山东省,Shandong,临沂,
NC,山东省,Shandong,济宁,
NC,山东省,Shandong,枣庄,
NC,山东省,Shandong,诸城,
NC,山东省,Shandong,胶州,
NC,山东省,Shandong,莱州,
NC,山东省,Shandong,章丘,
NC,山东省,Shandong,即墨,
NC,山东省,Shandong,乐陵,
NC,山东省,Shandong,临清,
NC,山东省,Shandong,平度,
NC,山东省,Shandong,胶南,
NC,山东省,Shandong,莱西,
NC,山东省,Shandong,滕州,
NC,山东省,Shandong,龙口,
NC,山东省,Shandong,禹城,
NC,山东省,Shandong,文登,
NC,山东省,Shandong,莱阳,
NC,山东省,Shandong,蓬莱,
NC,山东省,Shandong,招远,
NC,山东省,Shandong,栖霞,
NC,山东省,Shandong,海阳,
NC,山东省,Shandong,荣成,
NC,山东省,Shandong,乳山,
NC,山东省,Shandong,青州,
NC,山东省,Shandong,寿光,
NC,山东省,Shandong,高密,
NC,山东省,Shandong,昌邑,
NC,山东省,Shandong,安丘,
NC,山东省,Shandong,肥城,
NC,山东省,Shandong,新泰,
NC,山东省,Shandong,曲阜,
NC,山东省,Shandong,兖州,
NC,山东省,Shandong,邹城,
NC,山西省,Shanxi,大同,
NC,山西省,Shanxi,长治,
NC,山西省,Shanxi,阳泉,
NC,山西省,Shanxi,朔州,
NC,山西省,Shanxi,临汾,
NC,山西省,Shanxi,晋中,
NC,山西省,Shanxi,运城,
NC,山西省,Shanxi,晋城,
NC,山西省,Shanxi,忻州,
NC,山西省,Shanxi,古交,
NC,山西省,Shanxi,潞城,
NC,山西省,Shanxi,高平,
NC,山西省,Shanxi,介休,
NC,山西省,Shanxi,侯马,
NC,山西省,Shanxi,霍州,
NC,山西省,Shanxi,河津,
NC,山西省,Shanxi,孝义,
NC,山西省,Shanxi,离石,
NC,山西省,Shanxi,原平,
NC,山西省,Shanxi,永济,
NC,山西省,Shanxi,汾阳,
NE,黑龙江省,Heilongjiang,齐齐哈尔,
NE,黑龙江省,Heilongjiang,牡丹江,
NE,黑龙江省,Heilongjiang,佳木斯,
NE,黑龙江省,Heilongjiang,伊春,
NE,黑龙江省,Heilongjiang,鸡西,
NE,黑龙江省,Heilongjiang,七台河,
NE,黑龙江省,Heilongjiang,双鸭山,
NE,黑龙江省,Heilongjiang,绥化,
NE,黑龙江省,Heilongjiang,鹤岗,
NE,黑龙江省,Heilongjiang,黑河,
NE,黑龙江省,Heilongjiang,阿城,
NE,黑龙江省,Heilongjiang,尚志,
NE,黑龙江省,Heilongjiang,双城,
NE,黑龙江省,Heilongjiang,五常,
NE,黑龙江省,Heilongjiang,讷河,
NE,黑龙江省,Heilongjiang,密山,
NE,黑龙江省,Heilongjiang,虎林,
NE,黑龙江省,Heilongjiang,铁力,
NE,黑龙江省,Heilongjiang,同江,
NE,黑龙江省,Heilongjiang,富锦,
NE,黑龙江省,Heilongjiang,绥芬河,
NE,黑龙江省,Heilongjiang,海林,
NE,黑龙江省,Heilongjiang,宁安,
NE,黑龙江省,Heilongjiang,穆棱,
NE,黑龙江省,Heilongjiang,北安,
NE,黑龙江省,Heilongjiang,五大连池,
NE,黑龙江省,Heilongjiang,肇东,
NE,黑龙江省,Heilongjiang,安达,
NE,黑龙江省,Heilongjiang,海伦,
NE,吉林省,Jilin,松原,
NE,吉林省,Jilin,通化,
NE,吉林省,Jilin,四平,
NE,吉林省,Jilin,辽源,
NE,吉林省,Jilin,白山,
NE,吉林省,Jilin,白城,
NE,吉林省,Jilin,延吉,
NE,吉林省,Jilin,九台,
NE,吉林省,Jilin,榆树,
NE,吉林省,Jilin,德惠,
NE,吉林省,Jilin,蛟河,
NE,吉林省,Jilin,舒兰,
NE,吉林省,Jilin,磐石,
NE,吉林省,Jilin,公主岭,
NE,吉林省,Jilin,梅河口,
NE,吉林省,Jilin,集安,
NE,吉林省,Jilin,临江,
NE,吉林省,Jilin,洮南,
NE,吉林省,Jilin,图们,
NE,吉林省,Jilin,敦化,
NE,吉林省,Jilin,珲春,
NE,吉林省,Jilin,龙井,
NE,吉林省,Jilin,桦甸,
NE,吉林省,Jilin,双辽,
NE,吉林省,Jilin,大安,
NE,吉林省,Jilin,合龙,
NE,辽宁省,Liaoning,鞍山,
NE,辽宁省,Liaoning,丹东,
NE,辽宁省,Liaoning,锦州,
NE,辽宁省,Liaoning,营口,
NE,辽宁省,Liaoning,阜新,
NE,辽宁省,Liaoning,铁岭,
NE,辽宁省,Liaoning,朝阳,
NE,辽宁省,Liaoning,葫芦岛,
NE,辽宁省,Liaoning,辽阳,
NE,辽宁省,Liaoning,盘锦,
NE,辽宁省,Liaoning,本溪,
NE,辽宁省,Liaoning,新民,
NE,辽宁省,Liaoning,瓦房店,
NE,辽宁省,Liaoning,普兰店,
NE,辽宁省,Liaoning,庄河,
NE,辽宁省,Liaoning,东港,
NE,辽宁省,Liaoning,凤城,
NE,辽宁省,Liaoning,凌海,
NE,辽宁省,Liaoning,北宁,
NE,辽宁省,Liaoning,盖州,
NE,辽宁省,Liaoning,灯塔,
NE,辽宁省,Liaoning,铁法,
NE,辽宁省,Liaoning,开原,
NE,辽宁省,Liaoning,凌源,
NE,辽宁省,Liaoning,兴城,
NE,辽宁省,Liaoning,海城,
NE,辽宁省,Liaoning,大石桥,
NE,辽宁省,Liaoning,北票,
SC,福建省,Fujian,泉州,
SC,福建省,Fujian,漳州,
SC,福建省,Fujian,龙岩,
SC,福建省,Fujian,南平,
SC,福建省,Fujian,三明,
SC,福建省,Fujian,宁德,
SC,福建省,Fujian,莆田,
SC,福建省,Fujian,石狮,
SC,福建省,Fujian,福安,
SC,福建省,Fujian,南安,
SC,福建省,Fujian,武夷山,
SC,福建省,Fujian,福清,
SC,福建省,Fujian,长乐,
SC,福建省,Fujian,邵武,
SC,福建省,Fujian,建阳,
SC,福建省,Fujian,永安,
SC,福建省,Fujian,晋江,
SC,福建省,Fujian,建瓯,
SC,福建省,Fujian,龙海,
SC,福建省,Fujian,漳平,
SC,福建省,Fujian,福鼎,
SC,广东省,Guangdong,珠海,
SC,广东省,Guangdong,中山,
SC,广东省,Guangdong,汕头,
SC,广东省,Guangdong,佛山,
SC,广东省,Guangdong,湛江,
SC,广东省,Guangdong,江门,
SC,广东省,Guangdong,惠州,
SC,广东省,Guangdong,韶关,
SC,广东省,Guangdong,肇庆,
SC,广东省,Guangdong,阳江,
SC,广东省,Guangdong,潮州,
SC,广东省,Guangdong,清远,
SC,广东省,Guangdong,揭阳,
SC,广东省,Guangdong,汕尾,
SC,广东省,Guangdong,梅州,
SC,广东省,Guangdong,河源,
SC,广东省,Guangdong,云浮,
SC,广东省,Guangdong,茂名,
SC,广东省,Guangdong,顺德,
SC,广东省,Guangdong,南海,
SC,广东省,Guangdong,台山,
SC,广东省,Guangdong,增城,
SC,广东省,Guangdong,从化,
SC,广东省,Guangdong,陆丰,
SC,广东省,Guangdong,阳春,
SC,广东省,Guangdong,乐昌,
SC,广东省,Guangdong,南雄,
SC,广东省,Guangdong,潮阳,
SC,广东省,Guangdong,澄海,
SC,广东省,Guangdong,三水,
SC,广东省,Guangdong,连州,
SC,广东省,Guangdong,英德,
SC,广东省,Guangdong,高明,
SC,广东省,Guangdong,新会,
SC,广东省,Guangdong,鹤山,
SC,广东省,Guangdong,开平,
SC,广东省,Guangdong,恩平,
SC,广东省,Guangdong,普宁,
SC,广东省,Guangdong,罗定,
SC,广东省,Guangdong,廉江,
SC,广东省,Guangdong,雷州,
SC,广东省,Guangdong,吴川,
SC,广东省,Guangdong,高州,
SC,广东省,Guangdong,化州,
SC,广东省,Guangdong,四会,
SC,广东省,Guangdong,兴宁,
SC,广东省,Guangdong,信宜,
SC,广东省,Guangdong,惠阳,
SC,广东省,Guangdong,高要,
SC,广西,Guangxi,柳州,
SC,广西,Guangxi,桂林,
SC,广西,Guangxi,北海,
SC,广西,Guangxi,钦州,
SC,广西,Guangxi,玉林,
SC,广西,Guangxi,贵港,
SC,广西,Guangxi,防城港,
SC,广西,Guangxi,梧州,
SC,广西,Guangxi,百色,
SC,广西,Guangxi,岑溪,
SC,广西,Guangxi,贺州,
SC,广西,Guangxi,北流,
SC,广西,Guangxi,桂平,
SC,广西,Guangxi,凭祥,
SC,广西,Guangxi,合山,
SC,广西,Guangxi,河池,
SC,广西,Guangxi,东兴,
SC,广西,Guangxi,宜州,
SC,海南省,Hainan,三亚,
SC,海南省,Hainan,五指山,
SC,海南省,Hainan,州,
SC,海南省,Hainan,琼海,
SC,海南省,Hainan,文昌,
SC,海南省,Hainan,东方,
